p_DA,p_H,p_IM,p_IM_abs,xi,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
-8.087373293407882,10.0,-10.0,10.0,0.0,154.41337089705937,10.0,1.0,0.0,0.0,-0.0,0.0,0.0
-5.890137128210659,10.0,-10.0,10.0,0.0,154.41337089705937,10.0,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,-10.098039215686278,10.098039215686278,0.0,154.41337089705937,9.901960784313726,1.0,0.0,0.0,0.0,0.0,0.0
-9.268194244186834,10.0,-11.61764705882355,11.61764705882355,0.0,154.41337089705925,8.382352941176471,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,-11.127450980392162,11.127450980392162,0.0,154.41337089705937,8.872549019607842,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,-10.098039215686278,10.098039215686278,0.0,154.41337089705937,9.901960784313726,1.0,0.0,0.0,0.0,0.0,0.0
-4.7653045041328514,10.0,-10.049019607843157,10.049019607843157,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,9.950980392156861,9.950980392156861,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,37.43,37.422493
0.319095062609005,10.0,-0.36811467045215807,0.36811467045215807,0.0,154.41337089705954,9.950980392156865,1.0,0.0,0.0,0.0,48.06,45.425812
3.1828338888199,10.0,-3.231853496663039,3.231853496663039,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,50.74,44.926273
-10.0,9.445361518848207,10.505618873308658,10.505618873308658,0.0,146.2776166348212,9.950980392156865,1.0,0.0,0.0,0.0,48.11,44.979843
-10.0,10.0,9.95098039215686,9.95098039215686,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,48.66,45.425812
-10.0,10.0,9.95098039215686,9.95098039215686,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,49.94,44.426735
7.744989514522919,10.0,-7.794009122366067,7.794009122366067,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,47.26,44.426735
3.7899588679040708,10.0,-3.8389784757472114,3.8389784757472114,0.0,154.41337089705937,9.950980392156865,1.0,0.0,0.0,0.0,50.93,44.990559
10.0,10.0,-10.44117647058824,10.44117647058824,0.0,154.41337089705937,9.558823529411764,1.0,0.0,0.0,0.0,52.38,48.19001
10.0,7.848860782333135,-10.054743135274315,10.054743135274315,0.0,122.85923130245905,7.794117647058823,1.0,0.0,0.0,0.0,56.01,47.805649
-10.0,9.045228662550127,9.435163494312619,9.435163494312619,0.0,140.4082391903851,8.480392156862745,1.0,0.0,0.0,0.0,56.95,48.420361
-5.015380930037925,9.61675523245054,4.908429619156013,4.908429619156013,0.0,148.79171759129517,9.509803921568627,1.0,0.0,0.0,0.0,55.39,48.98954
-9.593726407158188,10.0,7.976079348334654,7.976079348334654,0.0,154.41337089705937,8.382352941176471,1.0,0.0,0.0,0.0,54.9,48.98954
